iteration,rss,elapsed_time,benchmark,tool,trial_id
8,392904,501,graphchi,none,173
9,381768,482,graphchi,none,173
5,330612,167,h2,none,678
6,331632,137,h2,none,678
7,337132,132,h2,none,678
8,337820,140,h2,none,678
9,338268,114,h2,none,678
5,773456,2430,tomcat,galette,1549
6,763088,2539,tomcat,galette,1549
7,776860,2206,tomcat,galette,1549
8,779164,2100,tomcat,galette,1549
9,780156,1878,tomcat,galette,1549
5,411116,87,spring,none,938
6,411936,90,spring,none,938
7,412232,75,spring,none,938
8,412652,86,spring,none,938
9,413272,86,spring,none,938
5,353424,5815,sunflow,phosphor,582
6,354300,6129,sunflow,phosphor,582
7,376020,5556,sunflow,phosphor,582
8,373408,6116,sunflow,phosphor,582
9,356856,5914,sunflow,phosphor,582
5,368256,2053,biojava,phosphor,569
6,354396,2114,biojava,phosphor,569
7,375228,2121,biojava,phosphor,569
8,371976,2089,biojava,phosphor,569
9,398660,2175,biojava,phosphor,569
5,335336,493,h2o,none,427
6,425680,577,h2o,none,427
7,357036,479,h2o,none,427
8,369872,495,h2o,none,427
9,351364,470,h2o,none,427
5,225320,343,batik,none,1597
6,237936,343,batik,none,1597
7,238080,302,batik,none,1597
8,241484,329,batik,none,1597
9,260224,324,batik,none,1597
5,538576,11109,luindex,phosphor,326
6,559556,11378,luindex,phosphor,326
7,573484,11402,luindex,phosphor,326
8,606016,11625,luindex,phosphor,326
9,534052,11407,luindex,phosphor,326
5,388704,656,h2o,none,7
6,382292,502,h2o,none,7
7,403648,630,h2o,none,7
8,390556,702,h2o,none,7
9,464464,605,h2o,none,7
5,307192,6447,avrora,phosphor,399
6,307432,5885,avrora,phosphor,399
7,307896,5679,avrora,phosphor,399
8,308108,5596,avrora,phosphor,399
9,310740,5653,avrora,phosphor,399
5,551308,7051,graphchi,phosphor,572
6,557340,7330,graphchi,phosphor,572
7,568716,7173,graphchi,phosphor,572
8,562600,7105,graphchi,phosphor,572
9,557028,7208,graphchi,phosphor,572
5,356436,761,h2o,none,1183
6,401524,746,h2o,none,1183
7,355824,791,h2o,none,1183
8,457488,1068,h2o,none,1183
9,396204,607,h2o,none,1183
5,1072968,555,spring,phosphor,497
6,1073224,490,spring,phosphor,497
7,1074084,913,spring,phosphor,497
8,1075052,434,spring,phosphor,497
9,1076180,442,spring,phosphor,497
5,787960,335,spring,galette,1043
6,789024,359,spring,galette,1043
7,790220,271,spring,galette,1043
8,790800,264,spring,galette,1043
9,793488,213,spring,galette,1043
5,815444,268,spring,galette,203
6,816272,270,spring,galette,203
